Zeit,Temperatur,Feuchtigkeit,Diversitaets-Index,Feldtyp,Feld,Jahrestag,Tag,Woche,Monat
2024-01-01 00:00:00,11.29,75.94,40,Karotten,1,1,1,1,1
2024-01-01 00:00:00,11.3,85.9,19,Pastinaken,2,1,1,1,1
2024-01-01 00:00:00,14.69,85.9,76,Nutzhanf,3,1,1,1,1
2024-01-01 00:00:00,13.31,84.58,51,Kartoffeln,4,1,1,1,1
2024-01-01 00:00:00,13.82,73.64,11,Karotten,5,1,1,1,1
2024-01-01 01:00:00,11.51,85.86,52,Karotten,1,1,1,1,1
2024-01-01 01:00:00,15.38,70.62,31,Pastinaken,2,1,1,1,1
2024-01-01 01:00:00,15.3,83.02,83,Nutzhanf,3,1,1,1,1
2024-01-01 01:00:00,10.17,81.04,51,Kartoffeln,4,1,1,1,1
2024-01-01 01:00:00,10.54,76.45,34,Karotten,5,1,1,1,1
2024-01-01 02:00:00,12.72,81.69,26,Karotten,1,1,1,1,1
2024-01-01 02:00:00,11.96,84.15,80,Pastinaken,2,1,1,1,1
2024-01-01 02:00:00,12.62,75.93,70,Nutzhanf,3,1,1,1,1
2024-01-01 02:00:00,10.68,84.33,80,Kartoffeln,4,1,1,1,1
2024-01-01 02:00:00,16.98,80.69,34,Karotten,5,1,1,1,1
2024-01-01 03:00:00,8.9,93.18,63,Karotten,1,1,1,1,1
2024-01-01 03:00:00,12.38,79.19,10,Pastinaken,2,1,1,1,1
2024-01-01 03:00:00,11.79,82.25,88,Nutzhanf,3,1,1,1,1
2024-01-01 03:00:00,14.57,77.54,48,Kartoffeln,4,1,1,1,1
2024-01-01 03:00:00,13.64,94.09,56,Karotten,5,1,1,1,1
2024-01-01 04:00:00,14.34,88.8,37,Karotten,1,1,1,1,1
2024-01-01 04:00:00,12.55,77.61,10,Pastinaken,2,1,1,1,1
2024-01-01 04:00:00,12.88,76.03,70,Nutzhanf,3,1,1,1,1
2024-01-01 04:00:00,12.39,82.72,55,Kartoffeln,4,1,1,1,1
2024-01-01 04:00:00,10.84,92.1,34,Karotten,5,1,1,1,1
2024-01-01 05:00:00,9.55,88.08,37,Karotten,1,1,1,1,1
2024-01-01 05:00:00,14.46,83.81,38,Pastinaken,2,1,1,1,1
2024-01-01 05:00:00,12.04,85.3,81,Nutzhanf,3,1,1,1,1
2024-01-01 05:00:00,9.4,77.57,70,Kartoffeln,4,1,1,1,1
2024-01-01 05:00:00,16.49,82.35,47,Karotten,5,1,1,1,1
2024-01-01 06:00:00,15.47,77.07,60,Karotten,1,1,1,1,1
2024-01-01 06:00:00,11.73,89.96,25,Pastinaken,2,1,1,1,1
2024-01-01 06:00:00,11.02,77.73,84,Nutzhanf,3,1,1,1,1
2024-01-01 06:00:00,10.82,82.03,75,Kartoffeln,4,1,1,1,1
2024-01-01 06:00:00,11.25,77.39,24,Karotten,5,1,1,1,1
2024-01-01 07:00:00,10.02,77.21,80,Karotten,1,1,1,1,1
2024-01-01 07:00:00,13.34,77.04,38,Pastinaken,2,1,1,1,1
2024-01-01 07:00:00,11.83,81.39,63,Nutzhanf,3,1,1,1,1
2024-01-01 07:00:00,10.85,77.03,59,Kartoffeln,4,1,1,1,1
2024-01-01 07:00:00,8.77,88.24,19,Karotten,5,1,1,1,1
2024-01-01 08:00:00,11.85,72.62,46,Karotten,1,1,1,1,1
2024-01-01 08:00:00,11.62,83.99,55,Pastinaken,2,1,1,1,1
2024-01-01 08:00:00,15.53,81.03,58,Nutzhanf,3,1,1,1,1
2024-01-01 08:00:00,14.9,85.87,39,Kartoffeln,4,1,1,1,1
2024-01-01 08:00:00,9.79,83.58,16,Karotten,5,1,1,1,1
2024-01-01 09:00:00,10.6,80.12,31,Karotten,1,1,1,1,1
2024-01-01 09:00:00,10.15,78.61,52,Pastinaken,2,1,1,1,1
2024-01-01 09:00:00,9.47,79.62,86,Nutzhanf,3,1,1,1,1
2024-01-01 09:00:00,15.58,77.83,33,Kartoffeln,4,1,1,1,1
2024-01-01 09:00:00,14.04,82.35,39,Karotten,5,1,1,1,1
2024-01-01 10:00:00,10.3,79.53,32,Karotten,1,1,1,1,1
2024-01-01 10:00:00,12.75,73.21,22,Pastinaken,2,1,1,1,1
2024-01-01 10:00:00,10.91,82.32,67,Nutzhanf,3,1,1,1,1
2024-01-01 10:00:00,10.81,74.1,46,Kartoffeln,4,1,1,1,1
2024-01-01 10:00:00,11.69,82.92,59,Karotten,5,1,1,1,1
2024-01-01 11:00:00,9.56,77.5,10,Karotten,1,1,1,1,1
2024-01-01 11:00:00,12.01,88.36,69,Pastinaken,2,1,1,1,1
2024-01-01 11:00:00,11.06,66.49,89,Nutzhanf,3,1,1,1,1
2024-01-01 11:00:00,12.5,85.93,10,Kartoffeln,4,1,1,1,1
2024-01-01 11:00:00,11.23,85.85,34,Karotten,5,1,1,1,1
2024-01-01 12:00:00,12.31,78.67,31,Karotten,1,1,1,1,1
2024-01-01 12:00:00,12.69,86.72,10,Pastinaken,2,1,1,1,1
2024-01-01 12:00:00,10.61,86.12,58,Nutzhanf,3,1,1,1,1
2024-01-01 12:00:00,12.98,84.07,18,Kartoffeln,4,1,1,1,1
2024-01-01 12:00:00,10.56,80.35,66,Karotten,5,1,1,1,1
2024-01-01 13:00:00,14.63,88.66,19,Karotten,1,1,1,1,1
2024-01-01 13:00:00,13.53,78.61,11,Pastinaken,2,1,1,1,1
2024-01-01 13:00:00,13.44,91.13,80,Nutzhanf,3,1,1,1,1
2024-01-01 13:00:00,12.02,79.41,30,Kartoffeln,4,1,1,1,1
2024-01-01 13:00:00,10.15,77.31,22,Karotten,5,1,1,1,1
2024-01-01 14:00:00,9.51,76.8,53,Karotten,1,1,1,1,1
2024-01-01 14:00:00,12.93,74.24,56,Pastinaken,2,1,1,1,1
2024-01-01 14:00:00,10.57,73.74,71,Nutzhanf,3,1,1,1,1
2024-01-01 14:00:00,11.29,84.94,26,Kartoffeln,4,1,1,1,1
2024-01-01 14:00:00,9.63,82.72,18,Karotten,5,1,1,1,1
2024-01-01 15:00:00,8.54,92.78,10,Karotten,1,1,1,1,1
2024-01-01 15:00:00,13.03,84.72,46,Pastinaken,2,1,1,1,1
2024-01-01 15:00:00,12.74,84.42,72,Nutzhanf,3,1,1,1,1
2024-01-01 15:00:00,10.93,81.04,39,Kartoffeln,4,1,1,1,1
2024-01-01 15:00:00,9.36,82.95,28,Karotten,5,1,1,1,1
2024-01-01 16:00:00,13.78,87.04,30,Karotten,1,1,1,1,1
2024-01-01 16:00:00,16.13,79.12,63,Pastinaken,2,1,1,1,1
2024-01-01 16:00:00,6.23,80.65,50,Nutzhanf,3,1,1,1,1
2024-01-01 16:00:00,14.62,78.6,49,Kartoffeln,4,1,1,1,1
2024-01-01 16:00:00,12.87,73.48,51,Karotten,5,1,1,1,1
2024-01-01 17:00:00,12.14,82.03,43,Karotten,1,1,1,1,1
2024-01-01 17:00:00,14.17,75.85,59,Pastinaken,2,1,1,1,1
2024-01-01 17:00:00,9.03,75.35,67,Nutzhanf,3,1,1,1,1
2024-01-01 17:00:00,9.31,85.78,30,Kartoffeln,4,1,1,1,1
2024-01-01 17:00:00,17.07,83.51,44,Karotten,5,1,1,1,1
2024-01-01 18:00:00,10.07,83.67,20,Karotten,1,1,1,1,1
2024-01-01 18:00:00,13.67,80.64,67,Pastinaken,2,1,1,1,1
2024-01-01 18:00:00,9.58,70.6,65,Nutzhanf,3,1,1,1,1
2024-01-01 18:00:00,10.68,85.17,20,Kartoffeln,4,1,1,1,1
2024-01-01 18:00:00,10.54,88.55,69,Karotten,5,1,1,1,1
2024-01-01 19:00:00,12.11,77.2,43,Karotten,1,1,1,1,1
2024-01-01 19:00:00,11.92,79.8,30,Pastinaken,2,1,1,1,1
2024-01-01 19:00:00,13.49,77.23,55,Nutzhanf,3,1,1,1,1
2024-01-01 19:00:00,10.39,81.5,45,Kartoffeln,4,1,1,1,1
2024-01-01 19:00:00,7.34,84.46,49,Karotten,5,1,1,1,1
2024-01-01 20:00:00,11.46,81.85,48,Karotten,1,1,1,1,1
2024-01-01 20:00:00,10.22,81.93,22,Pastinaken,2,1,1,1,1
2024-01-01 20:00:00,8.77,79.09,66,Nutzhanf,3,1,1,1,1
2024-01-01 20:00:00,15.16,83.82,48,Kartoffeln,4,1,1,1,1
2024-01-01 20:00:00,11.93,82.68,37,Karotten,5,1,1,1,1
2024-01-01 21:00:00,10.96,75.89,20,Karotten,1,1,1,1,1
2024-01-01 21:00:00,10.52,80.27,58,Pastinaken,2,1,1,1,1
2024-01-01 21:00:00,12.24,79.53,63,Nutzhanf,3,1,1,1,1
2024-01-01 21:00:00,11.04,83.55,36,Kartoffeln,4,1,1,1,1
2024-01-01 21:00:00,13.67,76.47,48,Karotten,5,1,1,1,1
2024-01-01 22:00:00,12.95,82.91,30,Karotten,1,1,1,1,1
2024-01-01 22:00:00,10.85,71.18,39,Pastinaken,2,1,1,1,1
2024-01-01 22:00:00,11.31,81.61,60,Nutzhanf,3,1,1,1,1
2024-01-01 22:00:00,12.42,71.46,33,Kartoffeln,4,1,1,1,1
2024-01-01 22:00:00,13.95,82.47,36,Karotten,5,1,1,1,1
2024-01-01 23:00:00,14.6,85.33,31,Karotten,1,1,1,1,1
2024-01-01 23:00:00,11.95,77.57,47,Pastinaken,2,1,1,1,1
2024-01-01 23:00:00,11.61,79.32,79,Nutzhanf,3,1,1,1,1
2024-01-01 23:00:00,10.8,74.62,78,Kartoffeln,4,1,1,1,1
2024-01-01 23:00:00,11.22,73.51,39,Karotten,5,1,1,1,1
2024-01-02 00:00:00,14.18,89.47,26,Karotten,1,2,2,1,1
2024-01-02 00:00:00,12.63,88.39,28,Pastinaken,2,2,2,1,1
2024-01-02 00:00:00,15.89,72.59,50,Nutzhanf,3,2,2,1,1
